Motor Name,Index,D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
KEDA TR2830/14,775,7,6,100,9930,4.83467845,25.213056,0,0,0
KEDA TR2826/22,776,7,6,103,9960,4.903325,25.302464,0,0,0
KEDA TR2826/22,777,7,6,103,9960,4.903325,25.302464,0,0,0
Strong Power A2212/10,778,7,6,109,10200,5.12887795,25.92832,0,0,0
TopStar 2806-01B,779,7,6,115,9930,4.83467845,25.213056,0,0,0
Justgofly 450T2,780,7,6,117,10410,5.34462425,26.420064,0,0,0
SunnySky X2208-11,781,7,6,118,10380,5.2563644,26.37536,0,0,0
KEDA TR2830/14,782,7,6,130,10860,5.75650355,27.582368,0,0,0
KEDA TR2830/14,783,7,6,130,10860,5.75650355,27.582368,0,0,0
KEDA TR2826/22,784,7,6,133,10710,5.63882375,27.224736,0,0,0
KEDA TR2826/22,785,7,6,133,10710,5.63882375,27.224736,0,0,0
Strong Power A2212/10,786,7,6,141,11040,6.0605097,28.029408,0,0,0
SunnySky X2208-11,787,7,6,150,11100,6.08992965,28.208224,0,0,0
Justgofly 450T2,788,7,6,153,11280,6.30567595,28.655264,0,0,0
KEDA TR2826/22,789,7,6,166,11430,6.52142225,29.012896,0,0,0
KEDA TR2826/22,790,7,6,166,11430,6.52142225,29.012896,0,0,0
KEDA TR2830/14,791,7,6,172,11790,6.8450417,29.95168,0,0,0
KEDA TR2830/14,792,7,6,172,11790,6.8450417,29.95168,0,0,0
Strong Power A2212/10,793,7,6,177,11700,6.864655,29.72816,0,0,0
Justgofly 450T2,794,7,6,196,12090,7.1588545,30.711648,0,0,0
KEDA TR2830/14,795,7,6,219,12600,7.84532,32.008064,0,0,0
KEDA TR2830/14,796,7,6,219,12600,7.84532,32.008064,0,0,0
Mega RCn 400/15/6,797,8,4,27,6180,2.353596,10.460736,0,0,0
Torque 30T-980,798,8,4,29,6300,2.40262925,10.684256,0,0,0
Hyperion Z2213-24,799,8,4,32,6540,2.73605535,11.086592,0,0,0
Mega RCn 400/7/12,800,8,4,34,6630,2.745862,11.220704,0,0,0
Tower Pro A2409-18,801,8,4,34,6630,2.75566865,11.220704,0,0,0
Mega RCn 400/15/6,802,8,4,38,6960,3.0008349,11.801856,0,0,0
Torque 30T-980,803,8,4,40,7020,2.97141495,11.891264,0,0,0
Torque 26T-1135,804,8,4,41,7110,3.03025485,12.025376,0,0,0
Mega RCn 400/15/5,805,8,4,41,7110,3.2361945,12.025376,0,0,0
Hacker A20-26M,806,8,4,42,7260,3.08909475,12.2936,0,0,0
Hyperion Z2213-24,807,8,4,43,7290,3.3931009,12.338304,0,0,0
XMotor 2822CA-24T,808,8,4,44,6750,2.81450855,11.444224,0,0,0
Dualsky XM 2822 CA-24,809,8,4,44,6750,2.81450855,11.444224,0,0,0
Exceed Rocket 2215-3400,810,8,4,44,6900,2.93218835,11.667744,0,0,0
Torque 26T-1135,811,8,4,44,7320,3.1185147,12.383008,0,0,0
iFlight iPower Multimate MT2208-1400,812,8,4,45,7290,3.28522775,12.338304,0,0,0
Mega RCn 400/7/12,813,8,4,46,7290,3.3734876,12.338304,0,0,0
Tower Pro A2409-18,814,8,4,48,7410,3.48136075,12.561824,0,0,0
Exceed Optima 2220-2700,815,8,4,50,7200,3.20677455,12.204192,0,0,0
Dualsky XM 2822 CA-24,816,8,4,51,6960,3.0596748,11.801856,0,0,0
XMotor 2822CA-24T,817,8,4,51,6960,3.0596748,11.801856,0,0,0
Motrolfly 2210-1400,818,8,4,52,7740,3.77556025,13.098272,0,0,0
Turnigy SK 3530-1400,819,8,4,52,7920,3.9030467,13.4112,0,0,0
Mega RCn 400/15/6,820,8,4,53,7740,3.726527,13.098272,0,0,0
Torque 30T-980,821,8,4,55,7710,3.6284605,13.053568,0,0,0
Suppo A2212-10,822,8,4,57,7950,4.0403398,13.455904,0,0,0
Hyperion Z2213-24,823,8,4,57,8010,4.1384063,13.545312,0,0,0
Torque 26T-1135,824,8,4,58,7920,3.8638201,13.4112,0,0,0
Mega RCn 400/7/12,825,8,4,59,7830,3.93246665,13.277088,0,0,0
Mega RCn 400/15/5,826,8,4,60,8040,4.2168595,13.590016,0,0,0
Hacker A20-26M,827,8,4,60,8100,3.9030467,13.724128,0,0,0
Justgofly 550XT 6-magnet,828,8,4,60,8100,4.24627945,13.724128,0,0,0
AXI 2808/20,829,8,4,62,7770,3.4519408,13.142976,0,0,0
iFlight iPower Multimate MT2208-1400,830,8,4,62,8040,4.0795664,13.63472,0,0,0
Torque 26T-1135,831,8,4,62,8160,3.9422733,13.813536,0,0,0
Exceed Rocket 2215-3400,832,8,4,63,7860,3.8049802,13.321792,0,0,0
LightFlightRC 28-37-2 Black,833,8,4,65,7860,3.89324005,13.321792,0,0,0
Tower Pro A2409-18,834,8,4,65,8190,4.30511935,13.85824,0,0,0
Justgofly 450T2,835,8,4,66,8340,4.38357255,14.126464,0,0,0
Exceed Optima 2220-2700,836,8,4,69,8160,4.18743955,13.813536,0,0,0
LightFlightRC 28-37-2 Silver #1,837,8,4,69,8160,4.28550605,13.813536,0,0,0
Torque 30T-980,838,8,4,69,8340,4.32473265,14.126464,0,0,0
MP Jet 26/45-20D,839,8,4,70,8040,3.99130655,13.590016,0,0,0
Mega RCn 400/15/6,840,8,4,70,8490,4.6679654,14.394688,0,0,0
Medusa 28-32-1500,841,8,4,72,8520,4.5502856,14.439392,0,0,0
E-power GC GT2210-1780,842,8,4,73,8400,4.38357255,14.215872,0,0,0
Motrolfly 2210-1400,843,8,4,73,8580,4.7464186,14.5288,0,0,0
Hyperion Z2213-24,844,8,4,73,8670,4.903325,14.662912,0,0,0
Turnigy SK 3530-1400,845,8,4,73,8880,5.0210048,15.020544,0,0,0
Exceed Helium 2220-3700,846,8,4,74,8250,4.20705285,13.947648,0,0,0
Mega RCn 400/7/12,847,8,4,74,8370,4.5895122,14.171168,0,0,0
Komodo KH2407-16,848,8,4,76,8700,4.6287388,14.75232,0,0,0
Torque 26T-1135,849,8,4,78,8730,4.6679654,14.797024,0,0,0
Suppo A2212-10,850,8,4,79,8790,5.0602314,14.886432,0,0,0
Mega RCn 400/15/5,851,8,4,79,8820,5.0602314,14.931136,0,0,0
Hacker A20-26M,852,8,4,81,8850,4.73661195,14.97584,0,0,0
Exceed Rocket 2215-3400,853,8,4,83,8730,4.83467845,14.797024,0,0,0
iFlight iPower Multimate MT2208-1400,854,8,4,83,8820,4.83467845,14.931136,0,0,0
Torque 26T-1135,855,8,4,84,8970,4.8052585,15.19936,0,0,0
Tower Pro A2409-18,856,8,4,85,8850,5.10926465,14.97584,0,0,0
Justgofly 550XT 6-magnet,857,8,4,85,8970,5.22694445,15.19936,0,0,0
AXI 2808/20,858,8,4,86,8610,4.46202575,14.573504,0,0,0
LightFlightRC 28-37-2 Black,859,8,4,88,8940,5.099458,15.154656,0,0,0
Mega RCn 400/15/6,860,8,4,88,9150,5.3740442,15.512288,0,0,0
Torque 30T-980,861,8,4,89,9000,5.10926465,15.244064,0,0,0
Exceed Optima 2220-2700,862,8,4,93,9060,5.2759777,15.333472,0,0,0
Justgofly 450T2,863,8,4,93,9240,5.46230405,15.6464,0,0,0
LightFlightRC 28-47-3 U. Black,864,8,4,95,9390,5.8055368,15.914624,0,0,0
E-power GC GT2210-1780,865,8,4,98,9150,5.24655775,15.512288,0,0,0
LightFlightRC 28-37-2 Silver #1,866,8,4,98,9180,5.48191735,15.556992,0,0,0
Motrolfly 2210-1400,867,8,4,98,9390,5.71727695,15.914624,0,0,0
MP Jet 26/45-20D,868,8,4,99,9090,5.1386846,15.378176,0,0,0
Medusa 28-32-1500,869,8,4,101,9330,5.50153065,15.780512,0,0,0
Torque 26T-1135,870,8,4,102,9420,5.57998385,15.959328,0,0,0
Turnigy SK 3530-1400,871,8,4,102,9810,6.1978028,16.629888,0,0,0
Suppo A2212-10,872,8,4,105,9540,6.0016698,16.138144,0,0,0
Mega RCn 400/15/5,873,8,4,105,9600,6.10954295,16.272256,0,0,0
Hacker A20-26M,874,8,4,106,9570,5.61921045,16.182848,0,0,0
Tower Pro A2409-18,875,8,4,107,9540,6.0212831,16.138144,0,0,0
Torque 26T-1135,876,8,4,109,9660,5.69766365,16.361664,0,0,0
Exceed Helium 2220-3700,877,8,4,110,9300,5.5113373,15.735808,0,0,0
AXI 2808/20,878,8,4,110,9600,5.6290171,16.272256,0,0,0
Exceed Rocket 2215-3400,879,8,4,110,9690,6.0408964,16.406368,0,0,0
iFlight iPower Multimate MT2208-1400,880,8,4,111,9510,5.8055368,16.09344,0,0,0
Justgofly 550XT 6-magnet,881,8,4,113,9820,6.276256,16.629888,0,0,0
LightFlightRC 28-37-2 Black,882,8,4,121,9900,6.3547092,16.764,0,0,0
Exceed Optima 2220-2700,883,8,4,122,10020,6.46258235,16.98752,0,0,0
Komodo KH2407-12,884,8,4,123,10980,6.3350959,18.596864,0,0,0
Justgofly 450T2,885,8,4,127,10140,6.73716855,17.166336,0,0,0
Motrolfly 2210-1400,886,8,4,127,10140,6.79600845,17.166336,0,0,0
Torque 26T-1135,887,8,4,128,10110,6.472389,17.121632,0,0,0
E-power GC GT2210-1780,888,8,4,129,9840,6.14876955,16.674592,0,0,0
LightFlightRC 28-37-2 Silver #1,889,8,4,133,10170,6.8450417,17.21104,0,0,0
MP Jet 26/45-20D,890,8,4,134,10080,6.58026215,17.076928,0,0,0
Komodo KH2407-12,891,8,4,134,10440,7.46286065,17.65808,0,0,0
iFlight iPower Multimate MT2208-1400,892,8,4,135,10080,6.46258235,17.076928,0,0,0
Hacker A20-26M,893,8,4,135,10230,6.4920023,17.345152,0,0,0
Suppo A2212-10,894,8,4,135,10290,7.060788,17.43456,0,0,0
Medusa 28-32-1500,895,8,4,137,10110,6.54103555,17.121632,0,0,0
Mega RCn 400/15/5,896,8,4,137,10350,7.1588545,17.523968,0,0,0
