D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
6,4,111,14550,4.3737659,24.631904,0,0,0
6,4,111,14910,4.36395925,25.25776,0,0,0
6,4,111,14910,4.36395925,25.25776,0,0,0
6,4,111,15060,3.92266,25.48128,0,0,0
6,4,111,15180,4.7660319,25.7048,0,0,0
6,4,113,15210,4.8052585,25.749504,0,0,0
6,4,113,15240,4.5502856,25.794208,0,0,0
6,4,113,15240,4.5502856,25.794208,0,0,0
6,4,113,15270,4.7268053,25.838912,0,0,0
6,4,114,15000,4.3541526,25.391872,0,0,0
6,4,115,14370,4.0403398,24.318976,0,0,0
6,4,116,14160,4.05014645,23.961344,0,0,0
6,4,117,15180,4.46202575,25.7048,0,0,0
6,4,117,15390,4.7268053,26.062432,0,0,0
6,4,118,15240,4.7660319,25.794208,0,0,0
6,4,119,15090,4.61893215,25.570688,0,0,0
6,4,119,15510,4.75622525,26.285952,0,0,0
6,4,120,15690,4.87390505,26.554176,0,0,0
6,4,121,15900,4.83467845,26.911808,0,0,0
6,4,122,15600,4.9817782,26.420064,0,0,0
6,4,124,15540,5.22694445,26.330656,0,0,0
6,4,126,15810,5.1386846,26.777696,0,0,0
6,4,129,15330,4.6091255,25.973024,0,0,0
6,4,129,15540,4.85429175,26.330656,0,0,0
6,4,129,15930,5.3152043,26.956512,0,0,0
6,4,130,15480,4.7660319,26.196544,0,0,0
6,4,134,15840,5.0406181,26.8224,0,0,0
6,4,134,16230,5.3544309,27.49296,0,0,0
6,4,137,16020,5.20733115,27.135328,0,0,0
6,4,137,16230,5.2367511,27.49296,0,0,0
6,4,137,16230,5.2367511,27.49296,0,0,0
6,4,139,16290,5.1779112,27.582368,0,0,0
6,4,140,15690,4.91313165,26.554176,0,0,0
6,4,140,15690,4.91313165,26.554176,0,0,0
6,4,140,16080,4.52086565,27.224736,0,0,0
6,4,142,16050,5.08965135,27.180032,0,0,0
6,4,142,16350,5.30539765,27.671776,0,0,0
6,4,142,16350,5.30539765,27.671776,0,0,0
6,4,146,15150,4.6091255,25.660096,0,0,0
6,4,146,15330,4.69738535,25.973024,0,0,0
6,4,146,16620,5.71727695,28.16352,0,0,0
6,4,147,16380,5.2759777,27.71648,0,0,0
6,4,148,16470,4.71699865,27.895296,0,0,0
6,4,149,16200,5.14849125,27.448256,0,0,0
6,4,150,16620,5.73689025,28.16352,0,0,0
6,4,151,16710,5.88399,28.297632,0,0,0
6,4,153,16290,5.26617105,27.582368,0,0,0
6,4,154,15840,4.99158485,26.8224,0,0,0
6,4,154,15840,4.99158485,26.8224,0,0,0
6,4,154,17070,5.8643767,28.923488,0,0,0
6,4,156,16800,5.6094038,28.431744,0,0,0
6,4,159,17160,5.85457005,29.0576,0,0,0
6,4,160,16380,5.4524974,27.71648,0,0,0
6,4,160,17010,5.8447634,28.789376,0,0,0
6,4,160,17040,6.07031635,28.83408,0,0,0
6,4,164,17370,6.1978028,29.415232,0,0,0
6,4,167,16650,5.59959715,28.208224,0,0,0
6,4,171,16650,5.6486304,28.208224,0,0,0
6,4,172,17400,6.38412915,29.459936,0,0,0
6,4,173,17430,6.20760945,29.50464,0,0,0
6,4,176,17430,6.20760945,29.50464,0,0,0
6,4,176,17520,6.18799615,29.683456,0,0,0
6,4,176,17520,6.18799615,29.683456,0,0,0
6,4,176,17610,6.42335575,29.817568,0,0,0
6,4,179,17070,5.8447634,28.923488,0,0,0
6,4,181,16350,5.3152043,27.671776,0,0,0
6,4,181,17280,5.91340995,29.28112,0,0,0
6,4,182,17370,5.295591,29.415232,0,0,0
6,4,182,17700,6.32528925,29.95168,0,0,0
6,4,186,15870,5.1975245,26.867104,0,0,0
6,4,190,17490,6.0408964,29.594048,0,0,0
6,4,192,17400,5.97224985,29.459936,0,0,0
6,4,194,17880,6.276256,30.264608,0,0,0
6,4,198,18090,6.99214145,30.62224,0,0,0
6,4,203,17460,6.22722275,29.549344,0,0,0
6,4,204,18570,6.95291485,31.426912,0,0,0
6,4,207,18390,6.9234949,31.158688,0,0,0
6,4,211,17970,6.56064885,30.443424,0,0,0
6,4,211,18720,7.256921,31.695136,0,0,0
6,4,214,18390,6.91368825,31.158688,0,0,0
6,4,222,18750,7.1784678,31.73984,0,0,0
6,4,222,18750,7.1784678,31.73984,0,0,0
6,4,223,18690,7.07059465,31.650432,0,0,0
6,4,223,18780,7.2176944,31.784544,0,0,0
6,4,225,18780,7.256921,31.784544,0,0,0
6,4,225,18990,7.453054,32.142176,0,0,0
6,4,245,19260,7.32556755,32.63392,0,0,0
6,4,263,19410,8.20816605,32.85744,0,0,0
6,4,284,20040,7.7864801,33.930336,0,0,0
6,4,292,20130,8.0022264,34.064448,0,0,0
6,4,297,20220,8.1395195,34.243264,0,0,0
6,4,299,20250,8.041453,34.287968,0,0,0
6,4,302,20280,8.7279185,34.332672,0,0,0
6,4,306,21150,9.32612415,35.807904,0,0,0
6,4,316,20910,8.9240515,35.405568,0,0,0
6,4,318,20490,9.1397978,34.690304,0,0,0
6,4,333,20730,8.62004535,35.09264,0,0,0
6,4,338,20880,8.63965865,35.360864,0,0,0
6,4,352,21090,8.825985,35.718496,0,0,0
6,4,381,21450,9.3359308,36.299648,0,0,0
6,4,429,22140,9.80665,37.506656,0,0,0
6,4,448,22920,10.395049,38.803072,0,0,0
6,5,139,12720,3.71672035,26.911808,0,0,0
6,5,170,13590,4.28550605,28.744672,0,0,0
6,5,208,14430,4.85429175,30.532832,0,0,0
6,5,478,23130,10.6892485,39.160704,0,0,0
6,5,493,23250,10.8461549,39.384224,0,0,0
7,4,40,8730,2.83412185,14.797024,34,5150,10
7,4,44,9030,3.06948145,15.288768,63,1435,0
7,4,56,9780,3.5892339,16.54048,34,5150,10
7,4,62,10110,3.8834334,17.121632,63,1435,0
7,4,77,10800,4.4718324,18.283936,34,5150,10
7,4,83,11160,4.7856452,18.909792,63,1435,0
7,4,101,11730,5.3740442,19.848576,34,5150,10
7,4,107,12030,5.687857,20.385024,63,1435,0
7,4,130,12630,6.3350959,21.368512,34,5150,10
7,4,136,12990,6.61948875,21.994368,63,1435,0
7,5,25,6660,1.6475172,14.08176,0,0,0
7,5,26,6630,1.91229675,14.037056,31,1210,0
7,5,26,6750,2.2359162,14.30528,39,857,8
7,5,28,6240,1.6867438,13.232384,25,1400,6
7,5,28,6750,1.9221034,14.30528,0,0,0
7,5,28,6840,1.96133,14.484096,0,0,0
7,5,28,6870,2.0201699,14.5288,0,0,0
7,5,28,6900,2.0593965,14.618208,0,0,0
7,5,28,6990,1.91229675,14.797024,0,0,0
7,5,29,6810,1.9417167,14.394688,0,0,0
7,5,29,6960,1.95152335,14.75232,0,0,0
7,5,29,7170,2.1182364,15.19936,0,0,0
7,5,30,6900,2.1378497,14.618208,0,0,0
7,5,30,7020,2.06920315,14.841728,0,0,0
7,5,30,7020,2.06920315,14.841728,0,0,0
7,5,30,7110,2.157463,15.065248,0,0,0
7,5,30,7110,2.157463,15.065248,0,0,0
7,5,31,7080,2.0986231,14.97584,0,0,0
7,5,31,7080,2.0986231,14.97584,0,0,0
7,5,32,7020,2.18688295,14.841728,0,0,0
7,5,32,7200,2.18688295,15.244064,0,0,0
7,5,33,6930,2.06920315,14.662912,0,0,0
7,5,33,7350,2.65760215,15.556992,39,857,8
7,5,33,7410,2.12804305,15.691104,0,0,0
7,5,34,7380,2.26533615,15.601696,0,0,0
7,5,34,7440,2.1182364,15.735808,0,0,0
7,5,34,7440,2.1770763,15.735808,0,0,0
7,5,35,7530,2.42224255,15.914624,0,0,0
